,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
1161,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson
1164,candidate_Bob Kiss,candidate_James Simpson,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith
1165,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
1166,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,0
1167,candidate_Bob Kiss,candidate_James Simpson,candidate_Andy Montroll,candidate_Dan Smith,0
1168,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
1169,candidate_James Simpson,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith
1170,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright
1171,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson,candidate_Dan Smith
1172,candidate_Bob Kiss,0,0,0,0
1173,candidate_Bob Kiss,0,0,0,0
1174,candidate_Dan Smith,candidate_Kurt Wright,candidate_Bob Kiss,0,0
1175,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,0
1176,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,0,0
1177,candidate_Andy Montroll,candidate_Kurt Wright,0,0,0
1178,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson,candidate_Andy Montroll,candidate_Bob Kiss
1179,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1180,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
1181,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,0,0
1182,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1183,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson
1184,candidate_Bob Kiss,0,0,0,0
1185,candidate_Andy Montroll,0,0,0,0
1186,candidate_Bob Kiss,candidate_James Simpson,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright
1187,candidate_Kurt Wright,candidate_Dan Smith,0,0,0
1188,candidate_Bob Kiss,0,0,0,0
1189,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_Bob Kiss,0
1190,candidate_Kurt Wright,0,0,0,0
1191,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_Kurt Wright,0
1192,candidate_Kurt Wright,0,0,0,0
1193,candidate_Kurt Wright,0,0,0,0
1194,candidate_James Simpson,0,0,0,0
1195,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0,0
1196,candidate_Andy Montroll,0,0,0,0
1197,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,0,0
1198,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,candidate_James Simpson,candidate_Kurt Wright
1199,candidate_Kurt Wright,0,0,0,0
1200,candidate_Kurt Wright,candidate_Dan Smith,0,0,0
1201,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson,candidate_Andy Montroll,candidate_Bob Kiss
1202,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1203,candidate_Bob Kiss,candidate_Kurt Wright,0,0,0
1204,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Bob Kiss
1205,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith
1206,candidate_Bob Kiss,0,0,0,0
1207,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1208,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
1209,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson,candidate_Dan Smith,candidate_Bob Kiss
1210,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
1211,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1212,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson
1213,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1214,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,0
1215,candidate_Kurt Wright,candidate_Andy Montroll,0,0,0
1216,candidate_Dan Smith,candidate_Bob Kiss,candidate_James Simpson,candidate_Andy Montroll,0
1217,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
1218,candidate_Bob Kiss,0,0,0,0
1219,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson,candidate_Andy Montroll,candidate_Bob Kiss
1220,candidate_Bob Kiss,candidate_James Simpson,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright
1221,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson,candidate_Kurt Wright
1222,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1223,candidate_Andy Montroll,candidate_Dan Smith,0,0,0
1224,candidate_Andy Montroll,0,0,0,0
1225,candidate_Dan Smith,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson
1226,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,0,0
1227,candidate_Bob Kiss,0,0,0,0
1228,candidate_Kurt Wright,0,0,0,0
1229,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
1230,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,0
1231,candidate_Kurt Wright,0,0,0,0
1232,candidate_Kurt Wright,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,0
1233,candidate_Bob Kiss,0,0,0,0
1234,candidate_Dan Smith,candidate_Bob Kiss,0,0,0
1235,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1236,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson
1237,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright
1238,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
1239,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson
1240,candidate_Bob Kiss,0,0,0,0
1241,candidate_Kurt Wright,0,0,0,0
1242,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,candidate_James Simpson
1243,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,candidate_James Simpson
1244,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson
1245,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,0
1246,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1247,candidate_Kurt Wright,candidate_Dan Smith,candidate_Bob Kiss,0,0
1248,candidate_Kurt Wright,candidate_Dan Smith,candidate_Bob Kiss,0,0
1249,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
1250,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
1251,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
1252,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
1253,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Kurt Wright,candidate_Dan Smith
1254,candidate_Kurt Wright,0,0,0,0
1255,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1256,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
1257,candidate_Bob Kiss,0,0,0,0
1258,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Bob Kiss,candidate_Kurt Wright
1259,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1260,candidate_Kurt Wright,0,0,0,0
1261,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0,0
1262,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,0
1263,candidate_Kurt Wright,0,0,0,0
1264,candidate_Kurt Wright,0,0,0,0
1265,candidate_Kurt Wright,0,0,0,0
1266,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,0
1267,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson
1268,candidate_Dan Smith,0,0,0,0
1269,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Bob Kiss,0
1270,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
1271,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson
1272,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,0
1273,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright
1274,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,candidate_Kurt Wright,candidate_James Simpson
1275,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson,0,0
1276,candidate_Kurt Wright,0,0,0,0
1277,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,0,0
1278,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Bob Kiss
1279,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,0,0
1280,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,0,0
1281,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Kurt Wright
1282,candidate_Andy Montroll,0,0,0,0
1283,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,0,0
1284,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Bob Kiss
1285,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson
1286,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson
1287,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
1288,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
1289,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,0,0
1290,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1291,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,0,0
1292,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Bob Kiss
1293,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
1294,candidate_Kurt Wright,0,0,0,0
1295,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson
1296,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson
1297,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0,0
1298,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson,candidate_Dan Smith,candidate_Bob Kiss
1299,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Andy Montroll,0,0
1301,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Kurt Wright
1302,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson,candidate_Andy Montroll,0
1303,candidate_Dan Smith,candidate_Bob Kiss,0,0,0
1304,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Kurt Wright
1305,candidate_Bob Kiss,0,0,0,0
1306,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1307,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson
1308,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,candidate_James Simpson
1309,candidate_Bob Kiss,candidate_James Simpson,0,0,0
1310,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
1311,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
1312,candidate_Bob Kiss,0,0,0,0
1313,candidate_Kurt Wright,candidate_Dan Smith,0,0,0
1314,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Bob Kiss
1315,candidate_Dan Smith,candidate_Kurt Wright,candidate_Andy Montroll,0,0
1316,candidate_Dan Smith,candidate_Bob Kiss,candidate_Kurt Wright,0,0
1317,candidate_Dan Smith,candidate_Bob Kiss,0,0,0
1318,candidate_Dan Smith,candidate_Bob Kiss,0,0,0
1319,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson
1320,candidate_Dan Smith,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson
1322,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,0,0
1323,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,0,0
1324,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1325,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1326,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Andy Montroll,0,0
1327,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
1328,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,0,0
1329,candidate_Andy Montroll,candidate_Dan Smith,0,0,0
1330,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright,candidate_Bob Kiss
1331,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,candidate_James Simpson
1332,candidate_Bob Kiss,0,0,0,0
1333,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,0
1334,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,0
1335,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1336,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson
1337,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
1338,candidate_Bob Kiss,0,0,0,0
1339,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith
1340,candidate_Dan Smith,candidate_Bob Kiss,candidate_James Simpson,candidate_Andy Montroll,candidate_Kurt Wright
1341,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1342,candidate_Kurt Wright,0,0,0,0
1343,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1344,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1345,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
1346,candidate_Andy Montroll,candidate_Kurt Wright,0,0,0
1347,candidate_Bob Kiss,candidate_James Simpson,0,0,0
1348,candidate_Dan Smith,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Andy Montroll,candidate_James Simpson
1349,candidate_Dan Smith,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson
1350,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,candidate_Bob Kiss,candidate_James Simpson
1351,candidate_Dan Smith,candidate_Bob Kiss,candidate_James Simpson,candidate_Andy Montroll,candidate_Kurt Wright
1352,candidate_Dan Smith,0,0,0,0
1353,candidate_Bob Kiss,0,0,0,0
1354,candidate_Dan Smith,0,0,0,0
1355,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Kurt Wright
1356,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Kurt Wright
1357,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Kurt Wright
1358,candidate_Dan Smith,candidate_James Simpson,candidate_Andy Montroll,0,0
1359,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0,0
1360,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1361,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,0,0
1362,candidate_Kurt Wright,candidate_Dan Smith,0,0,0
1363,candidate_Dan Smith,candidate_Bob Kiss,0,0,0
1364,candidate_Andy Montroll,candidate_Kurt Wright,0,0,0
1365,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1366,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
1367,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1368,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
1369,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson
1370,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,0
1372,candidate_Bob Kiss,0,0,0,0
1373,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
1374,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,0
1375,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,0
1376,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson
1377,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright
1378,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson,candidate_Dan Smith
1379,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson,0,0
1380,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_Kurt Wright,0
1381,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1382,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson,candidate_Bob Kiss,candidate_Andy Montroll
1383,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,0,0
1384,candidate_Dan Smith,candidate_Kurt Wright,0,0,0
1385,candidate_Andy Montroll,0,0,0,0
1386,candidate_Bob Kiss,candidate_Kurt Wright,0,0,0
1387,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson,candidate_Kurt Wright
1388,candidate_Bob Kiss,candidate_James Simpson,0,0,0
1389,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,0,0
1390,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson,candidate_Kurt Wright
1391,candidate_Dan Smith,candidate_Kurt Wright,candidate_Bob Kiss,0,0
1392,candidate_Dan Smith,candidate_Andy Montroll,0,0,0
1393,candidate_Kurt Wright,candidate_Andy Montroll,0,0,0
1395,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,0,0
1396,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson,candidate_Andy Montroll,candidate_Bob Kiss
1397,candidate_Dan Smith,candidate_Andy Montroll,0,0,0
1398,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0,0
1399,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0,0
1400,candidate_Kurt Wright,0,0,0,0
1401,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,0,0
1402,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,0,0
1404,candidate_Bob Kiss,0,0,0,0
1405,candidate_Bob Kiss,0,0,0,0
1406,candidate_Bob Kiss,0,0,0,0
1407,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
1408,candidate_Dan Smith,candidate_Bob Kiss,0,0,0
1409,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson
1410,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Bob Kiss
1411,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0,0
1412,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Kurt Wright
1413,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,0,0
1414,candidate_Dan Smith,0,0,0,0
1415,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1416,candidate_Dan Smith,candidate_James Simpson,candidate_Bob Kiss,0,0
1417,candidate_Bob Kiss,candidate_Dan Smith,candidate_Kurt Wright,candidate_Andy Montroll,candidate_James Simpson
1418,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,0,0
1419,candidate_Dan Smith,candidate_Bob Kiss,candidate_James Simpson,candidate_Andy Montroll,0
1420,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,candidate_James Simpson
1421,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,0
1422,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_James Simpson
1423,candidate_Kurt Wright,candidate_James Simpson,0,0,0
1424,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Bob Kiss,candidate_Kurt Wright
1425,candidate_Andy Montroll,candidate_James Simpson,0,0,0
1426,candidate_Bob Kiss,0,0,0,0
1427,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright
1428,candidate_Kurt Wright,0,0,0,0
1429,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
1430,candidate_Kurt Wright,candidate_Dan Smith,candidate_Bob Kiss,0,0
1431,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright
1432,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson,0
1433,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Kurt Wright
1434,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,0,0
1435,candidate_Bob Kiss,candidate_James Simpson,candidate_Andy Montroll,0,0
1436,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,0,0
1437,candidate_Dan Smith,candidate_Bob Kiss,0,0,0
1438,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Bob Kiss,0
1439,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,0
1440,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1441,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson,0
1442,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson,0,0
1443,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,0
1444,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright
1445,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,0
1446,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1447,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,0
1448,candidate_Bob Kiss,0,0,0,0
1449,candidate_Dan Smith,0,0,0,0
1450,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1451,candidate_Bob Kiss,0,0,0,0
1452,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Dan Smith,0,0
1453,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
1454,candidate_Bob Kiss,candidate_Kurt Wright,0,0,0
1455,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,0
1456,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1457,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,0,0
1458,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,0,0
1459,candidate_Kurt Wright,0,0,0,0
1460,candidate_Kurt Wright,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson
1461,candidate_Kurt Wright,candidate_Dan Smith,candidate_Bob Kiss,candidate_James Simpson,candidate_Andy Montroll
1462,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson
1463,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Bob Kiss,candidate_Kurt Wright
1464,candidate_Andy Montroll,candidate_Dan Smith,0,0,0
1465,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,0,0
1466,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,0,0
1467,candidate_Dan Smith,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson
1468,candidate_Bob Kiss,0,0,0,0
1469,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,0,0
1470,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_Kurt Wright,0
1471,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
1473,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
1474,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
1475,candidate_Bob Kiss,0,0,0,0
1476,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
1477,candidate_Bob Kiss,0,0,0,0
1478,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,0,0
1479,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
1480,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0,0
1481,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,0
1482,candidate_Kurt Wright,0,0,0,0
1483,candidate_Kurt Wright,0,0,0,0
1484,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,0,0
1485,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,0,0
1486,candidate_Kurt Wright,candidate_James Simpson,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss
1487,candidate_Bob Kiss,candidate_James Simpson,candidate_Dan Smith,candidate_Andy Montroll,candidate_Kurt Wright
1488,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
1489,candidate_Bob Kiss,0,0,0,0
1490,candidate_Bob Kiss,0,0,0,0
1491,candidate_Bob Kiss,0,0,0,0
1492,candidate_Bob Kiss,0,0,0,0
1493,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,0,0
