,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
73,candidate_Kurt Wright,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,candidate_Bob Kiss
74,candidate_Dan Smith,0,0,0,0
75,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
76,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,0,0
77,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
78,candidate_Kurt Wright,0,0,0,0
79,candidate_Kurt Wright,candidate_Dan Smith,0,0,0
80,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
81,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,candidate_Kurt Wright
82,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith
83,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith,0
84,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,0,0
85,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,0,0
86,candidate_Dan Smith,candidate_Andy Montroll,0,0,0
87,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,0,0
88,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson
90,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson
91,candidate_Dan Smith,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Andy Montroll,candidate_James Simpson
92,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson
93,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,0
94,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,candidate_Bob Kiss,candidate_James Simpson
95,candidate_Andy Montroll,candidate_Dan Smith,0,0,0
96,candidate_Dan Smith,candidate_Bob Kiss,0,0,0
97,candidate_Kurt Wright,0,0,0,0
98,candidate_Kurt Wright,0,0,0,0
99,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,0,0
100,candidate_Kurt Wright,0,0,0,0
101,candidate_Dan Smith,candidate_James Simpson,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright
102,candidate_Kurt Wright,0,0,0,0
103,candidate_Kurt Wright,0,0,0,0
104,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_Bob Kiss,0
105,candidate_Bob Kiss,0,0,0,0
